"","ID","group","captcha","mTurkCode","loopOrder","question","answer_learn","accuracy_learn","confidence_learn","submit_time_learn","clicks_learn","answer_test","accuracy_test","confidence_test","submit_time_test","clicks","veracity","session","RWA","AOT","IH","CRT","CRT_old","CRT_new","income","fluent","anxiety","effort","age","gender","edu","conservatism_social","conservatism_economic","conservatism","IH_bin","CRT_bin","RWA_bin","Confidence_bin5","Confidence_ord"
"27","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A27_Q1",1,0,100,4.671,3,2,1,100,6.16,2,2,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"29","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A29_Q1",1,0,81,6.247,3,2,1,100,6.117,2,2,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"30","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A30_Q1",2,1,100,4.664,2,2,1,100,6.915,3,2,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"31","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A31_Q1",2,1,71,6.422,2,2,1,100,5.76,3,2,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","4",4
"33","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A33_Q1",2,1,71,5.158,2,2,1,100,8.035,2,2,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","4",4
"35","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A35_Q1",1,0,100,3.972,2,2,1,100,4.556,2,2,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"36","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A36_Q1",2,1,100,5.185,3,2,1,100,4.41,2,2,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"37","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A37_Q1",1,0,74,6.615,4,2,1,100,4.279,3,2,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","4",4
"39","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A39_Q1",1,0,100,4.368,2,2,1,100,5.831,2,2,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"42","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A42_Q1",2,1,64,7.543,2,2,1,100,5.452,2,2,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","4",4
"43","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A43_Q1",1,0,71,5.587,2,2,1,100,4.401,2,2,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","4",4
"44","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A44_Q1",2,1,100,5.321,2,2,1,100,4.103,2,2,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"45","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A45_Q1",2,1,39,7.419,2,2,1,100,4.022,2,2,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","2",2
"46","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A46_Q1",1,0,86,6.478,3,2,1,100,6.16,2,2,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"47","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A47_Q1",2,1,96,3.743,2,2,1,100,3.964,2,2,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"48","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A48_Q1",1,0,70,8.651,2,1,0,100,6.48,2,2,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","4",4
"49","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A49_Q1",1,0,100,5.531,2,2,1,100,4.065,2,2,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"50","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A50_Q1",2,1,84,4.364,2,2,1,100,5.595,3,2,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"51","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A51_Q1",1,0,72,6.033,2,1,0,100,5.328,2,2,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","4",4
"52","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A52_Q1",2,1,92,5.132,2,2,1,40,8.823,2,2,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"54","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A54_Q1",1,0,100,5.012,2,2,1,100,4.944,2,2,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"55","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A55_Q1",2,1,65,4.684,2,2,1,100,6.15,2,2,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","4",4
"56","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A56_Q1",1,0,69,5.035,2,2,1,100,7.336,2,2,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","4",4
"59","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A59_Q1",2,1,100,6.21,2,2,1,100,4.798,3,2,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"60","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A60_Q1",1,0,42,5.404,2,2,1,100,6.228,2,2,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","3",3
"61","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A61_Q1",2,1,40,4.912,2,2,1,100,5.546,2,2,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","2",2
"63","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A63_Q1",1,0,87,6.849,2,2,1,100,4.704,2,2,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"67","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A67_Q1",2,1,100,3.941,2,2,1,100,3.77,2,2,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"68","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A68_Q1",2,1,81,8.468,2,2,1,100,4.648,2,2,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"71","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A71_Q1",2,1,100,5.211,2,2,1,100,6.519,2,2,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"72","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A72_Q1",1,0,68,6.579,2,2,1,100,4.464,2,2,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","4",4
"73","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A73_Q1",2,1,82,4.425,2,2,1,100,3.642,3,2,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"76","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A76_Q1",2,1,100,3.888,2,2,1,100,4.838,2,2,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"77","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A77_Q1",2,1,100,7.153,3,2,1,100,5.378,2,2,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"78","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A78_Q1",2,1,70,5.551,3,1,0,100,6.623,2,2,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","4",4
"81","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A81_Q1",1,1,60,6.239,2,2,0,100,6.183,4,1,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","3",3
"82","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A82_Q1",1,1,100,4.536,2,1,1,60,8.955,4,1,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"83","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A83_Q1",2,0,61,7.958,2,1,1,100,4.627,2,1,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","4",4
"84","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A84_Q1",1,1,100,6.26,2,1,1,100,5.117,3,1,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"85","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A85_Q1",2,0,100,4.531,2,1,1,100,6.768,2,1,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"86","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A86_Q1",1,1,100,4.512,2,1,1,100,8.139,3,1,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"87","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A87_Q1",1,1,83,6.723,3,1,1,100,4.083,2,1,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"88","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A88_Q1",1,1,100,4.911,2,1,1,100,4.9,2,1,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"89","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A89_Q1",1,1,100,5.023,2,1,1,100,3.823,2,1,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"90","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A90_Q1",1,1,81,6.606,2,1,1,100,7.443,2,1,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"91","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A91_Q1",1,1,100,6.468,2,1,1,100,6.015,3,1,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"92","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A92_Q1",1,1,70,5.014,2,1,1,100,6.462,2,1,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","4",4
"94","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A94_Q1",2,0,100,5.872,2,1,1,100,6.435,2,1,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"98","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A98_Q1",1,1,100,4.857,2,1,1,100,6.123,2,1,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"100","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A100_Q1",1,1,100,6.549,2,1,1,100,4.942,2,1,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"101","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A101_Q1",1,1,100,5.742,2,1,1,100,4.022,2,1,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"102","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A102_Q1",2,0,50,6.582,4,1,1,100,4.829,2,1,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","3",3
"103","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A103_Q1",1,1,100,7.153,2,1,1,100,4.904,2,1,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"104","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A104_Q1",1,1,100,4.902,2,1,1,100,4.595,2,1,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"107","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A107_Q1",2,0,78,3.708,2,1,1,100,3.69,2,1,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","4",4
